session_id,user_id,session_start_timestamp,booking_timestamp,time_to_booking
E5BlPLR02J9sDhEG,MZCoQh8uM5swkkx0,2025-01-15 04:25:54.958087206,,
iLMbzHEvm30rA7hL,JNxcv0bxRDLb7uGl,2025-01-15 01:30:53.094253063,,
1TPSZa4I3ngbgge6,5v8RyWA6PB7po99U,2025-01-30 20:38:12.784697294,,
YZUNhw1Es5By4GLE,9YR2Z4cKYguiMrdy,2025-01-13 22:24:08.170474529,,
Drl43dyy9WnaoJnM,7nX5iz0btBU7gR8h,2025-01-16 18:09:52.509284258,,
j4k0pX2bFdK3tri9,7nX5iz0btBU7gR8h,2025-01-12 07:47:14.768215179,2025-01-12 08:08:12.506747876,20.962308878283334
VTLWZr5MDVzQDqRn,7nX5iz0btBU7gR8h,2025-01-13 04:59:09.026243210,,
loU7fNZbIESffXb9,UInqJXNdb9f1Pd1C,2025-01-18 21:52:14.075515270,,
jzZK8MRftujxoR5H,UInqJXNdb9f1Pd1C,2025-01-26 07:06:35.204986334,,
DmBqfPbn65xaH9gj,rzRHj9JnEVohnw74,2025-01-01 06:55:26.137189388,2025-01-01 07:13:53.815319177,18.46130216315
3pszV4RUJNPL7084,rzRHj9JnEVohnw74,2025-01-29 08:31:33.247571468,,
40wwXShiziiMte4n,,2025-01-28 10:31:07.152171850,,
r5F0STU8wLoLl7qH,CoSaygixaRhxkYqh,2025-01-13 02:06:23.582150936,2025-01-13 02:21:13.126418025,14.825737784816665
wJ638rFNTO5zWVpl,CoSaygixaRhxkYqh,2025-01-16 05:01:11.849198818,,
vxCN93QItRmeLr4l,IIG6ePM5OBgihlHG,2025-01-02 11:55:17.144761086,,
aRE3osTepQRf8jp2,,2025-01-09 21:18:31.693754673,,
0e1RaelVLKtYhhgD,V2w9xKIRNvAIaIKU,2025-01-24 00:15:59.990416050,,
syoY7W2ay2IBuwCG,,2025-01-24 06:16:11.211308956,2025-01-24 06:24:19.022570254,8.1301876883
z2T1mdGjMtLXEmHk,ncaez2nMAioozP7m,2025-01-13 00:34:25.556547165,,
AgWo92kbkTOS2Oy3,ncaez2nMAioozP7m,2025-01-13 11:21:47.543114662,,
fF6mFJbmPg64F8KJ,YFMWZ8FdDKwMSoQC,2025-01-27 06:55:28.979600191,2025-01-27 07:03:37.111301939,8.135528362466667
CM0Pkl3XZJAAD2az,YFMWZ8FdDKwMSoQC,2025-01-02 15:40:30.236212015,,
dE5984lqKWrHv1Vl,JmFg6YvBbPS940fB,2025-01-21 17:23:52.419677496,,
OImzHmVc6J8LV63I,JmFg6YvBbPS940fB,2025-01-03 17:54:27.460582972,,
K3XwRHgBEOjKUIyX,BRRtD9k52ByM9Ga4,2025-01-19 14:42:10.611696482,,
fLKSEx1CIKIboRay,BRRtD9k52ByM9Ga4,2025-01-30 20:21:01.643451929,,
e8rFybEFurSiwLw2,A94ZmOcMfhAi9KGY,2025-01-15 10:14:42.817848444,,
p3oxZUOLpQuz5SIS,A94ZmOcMfhAi9KGY,2025-01-09 02:58:51.336405993,2025-01-09 03:12:54.701769581,14.056089393133334
zVgwO2smwafhLBBp,PRxo61FFxOZW9W5Z,2025-01-18 22:51:25.574993849,,
0Fw9fgg8izUsAOmu,PRxo61FFxOZW9W5Z,2025-01-15 01:42:35.007625341,2025-01-15 02:03:04.103799438,20.48493623495
PBdhGo4ZgfXpbyYs,PRxo61FFxOZW9W5Z,2025-01-17 11:48:18.950860500,2025-01-17 12:03:11.696988870,14.879102139499999
t32woigKcxuDr5pS,l9MbcWKW3q6WbbB1,2025-01-18 20:44:46.914402246,,
WARj9tUuokjn4S2V,wKFGas9b0RzFfF2d,2025-01-16 14:54:54.047261238,,
iSTDoq1FGpsYb4de,2k36qLxeZHfvkVpG,2025-01-24 03:39:17.271142483,2025-01-24 03:54:15.111188608,14.96400076875
Lh5NxE68ungczBRs,2k36qLxeZHfvkVpG,2025-01-02 22:39:00.703091860,,
m60aML8iuahvzBq8,2k36qLxeZHfvkVpG,2025-01-17 13:17:22.489028692,,
El16TsG1Dft1GC06,i76fpCct76Jszcst,2025-01-09 14:05:02.349055767,,
0WIzwKAVVwLXXDYW,FgZOGNMrNakB4yXw,2025-01-19 01:03:35.382677078,2025-01-19 01:17:25.687348794,13.838411195266668
rXDs2SPQaSdqKfNW,EDPIg7pzV4Z7WbaV,2025-01-09 10:05:22.946309566,,
O4ELvuvYSI7Cx9qJ,9leKF62iOIsVpctx,2025-01-09 14:31:09.980137825,,
X7wj0CKAtlL5f1zx,13GxZkWhJLNt9IV9,2025-01-22 03:16:09.853653193,,
TbdDb498Ff5aPw1C,13GxZkWhJLNt9IV9,2025-01-12 14:25:13.595592737,,
40h92Qx1mlesrolT,13GxZkWhJLNt9IV9,2025-01-02 23:08:22.931316853,,
6hEUD3n6wguhdhOk,yIyCrTrb1Ip8OJGd,2025-01-29 05:08:44.030603170,,
xiqruEiSHquwR8JH,yIyCrTrb1Ip8OJGd,2025-01-19 17:18:19.830274820,,
A3aqRirvDk37PPMo,GnuVt3hgcqGVl6Yv,2025-01-18 16:01:18.082335234,,
VJlU0zWfISbwdLQc,GnuVt3hgcqGVl6Yv,2025-01-18 15:03:55.556480169,,
Pisb2sa0gjXeNg1L,GnuVt3hgcqGVl6Yv,2025-01-24 05:56:37.858321667,,
Mg2DVAGc5Md7KeLE,,2025-01-30 04:21:33.409010410,,
NSvOhFpnVSJfokzu,2vTDLLSY1hAAHuDG,2025-01-14 23:01:21.114465475,2025-01-14 23:20:30.431360604,19.155281585483333
qAEnZGbw9L1KzbJA,2vTDLLSY1hAAHuDG,2025-01-23 12:00:18.196717739,,
NqMwMJJQe4Dg9T28,BUGe78VsdIWqRBDC,2025-01-01 02:21:38.566319227,2025-01-01 02:34:13.998473879,12.590535910866667
bN61DPCTo4kgsD4L,BUGe78VsdIWqRBDC,2025-01-02 19:35:44.480986834,,
g1JnxekVMAzpX4ih,,2025-01-03 16:41:45.773574352,,
CFtS0vv6aGOKEMof,T0fI7OKxCWT0EI7G,2025-01-22 22:38:57.690255880,,
ZGfkUvr1j3BPz5rh,T0fI7OKxCWT0EI7G,2025-01-25 18:56:18.141146421,2025-01-25 19:06:22.276350019,10.068920059966667
f2zUEGCsA6rdwhNx,,2025-01-02 01:12:53.047694445,,
kmvNntauYyBKF3JJ,Z8uFwGcryPE15cNT,2025-01-21 03:07:26.159493923,,
bNCVTpAi3NSe4mSy,Z8uFwGcryPE15cNT,2025-01-15 13:20:18.215684175,2025-01-15 13:31:30.682291201,11.207776783766667
seFhscwQjtLusnbF,xXFUvwbAPbzqNGiQ,2025-01-07 20:10:39.703832150,,
SRNBxrqQ8UKZsmtq,,2025-01-05 22:10:12.713357449,2025-01-05 22:19:17.596699899,9.081389040833333
AYdE7zKalPSYp6Hx,1VMCP2zIXyxm75g4,2025-01-28 18:09:48.848861694,,
QdY4h6pWQ6iOxMac,JStahTpnlYwoBHbF,2025-01-17 08:25:14.331888676,2025-01-17 08:42:05.095217644,16.8460554828
iVT0UJU5kWO2ScHI,JStahTpnlYwoBHbF,2025-01-09 14:29:43.590599775,,
pnJcVX7fpZNFHF8G,JStahTpnlYwoBHbF,2025-01-18 09:17:10.704429388,,
aVCAnxojxpECiJks,,2025-01-26 00:23:28.942930937,,
piR0AHkshQ6V2tOk,,2025-01-27 00:12:39.651214838,,
